Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
67	67	112719_Female_MitragynineHCl_PK_MQC3	QC	1:B,7	90.000	0.90	56019	174901	0.320	3.203	94.39	4.9		762888.000	
68	68	112719_Female_MitragynineHCl_PK_HQC3	QC	1:B,8	180.000	0.90	107238	173019	0.620	6.198	182.51	1.4		1433293.000	
69	69	112719_R4_Mitra_F_PO50MPK_PreDose	Analyte	1:G,6		0.88	13	168799	0.000	0.001	0.19			177.000	
70	70	112719_R4_Mitra_F_PO50MPK_5min_10X	Analyte	1:G,7		0.92	253	170077	0.001	0.015	0.60			3105.000	
71	71	112719_R4_Mitra_F_PO50MPK_10min_10X	Analyte	1:G,8		0.91	1400	168101	0.008	0.083	2.61			18364.000	
72	72	112719_R4_Mitra_F_PO50MPK_15min_10X	Analyte	1:G,9		0.90	2697	166585	0.016	0.162	4.93			4537.978	
73	73	112719_R4_Mitra_F_PO50MPK_30min_10X	Analyte	1:G,10		0.90	5079	170049	0.030	0.299	8.95			67700.000	
74	74	112719_R4_Mitra_F_PO50MPK_45min_10X	Analyte	2:D,9		0.90	6315	164142	0.038	0.385	11.48			83680.000	
75	75	112719_R4_Mitra_F_PO50MPK_60min_10X	Analyte	1:G,12		0.90	13642	173472	0.079	0.786	23.30			187518.000	
76	76	112719_R4_Mitra_F_PO50MPK_2hr_10X	Analyte	1:H,1		0.91	7013	177826	0.039	0.394	11.77			94518.000	
77	77	112719_R4_Mitra_F_PO50MPK_4hr_10X	Analyte	1:H,2		0.90	4165	174930	0.024	0.238	7.17			15164.821	
78	78	112719_R4_Mitra_F_PO50MPK_6hr	Analyte	1:H,3		0.91	37150	175199	0.212	2.120	62.55			483903.000	
79	79	112719_R4_Mitra_F_PO50MPK_8hr	Analyte	1:H,4		0.91	39890	176080	0.227	2.265	66.81			521513.000	
80	80	112719_R4_Mitra_F_PO50MPK_12hr	Analyte	1:H,5		0.91	41947	173092	0.242	2.423	71.46			554227.000	
81	81	112719_R4_Mitra_F_PO50MPK_24hr	Analyte	1:H,6		0.91	34232	173558	0.197	1.972	58.19			456516.000	
82	82	112719_R4_Mitra_F_PO50MPK_36hr	Analyte	1:H,7		0.91	21227	173372	0.122	1.224	36.18			276977.000	
83	83	112719_R4_Mitra_F_PO50MPK_48hr	Analyte	1:H,8		0.90	9686	174508	0.056	0.555	16.49			123993.000	
84	84	112719_R5_Mitra_F_IP5MPK_PreDose	Analyte	1:H,9		0.94	34	173914	0.000	0.002	0.22			31.192	
85	85	112719_R5_Mitra_F_IP5MPK_5min_10X	Analyte	1:H,10		0.90	167	173537	0.001	0.010	0.45			1854.000	
86	86	112719_R5_Mitra_F_IP5MPK_15min_10X	Analyte	1:H,11		0.91	425	170537	0.002	0.025	0.90			5709.000	
87	87	112719_R5_Mitra_F_IP5MPK_30min_10X	Analyte	1:H,12		0.91	750	178028	0.004	0.042	1.40			9435.000	
88	88	112719_R5_Mitra_F_IP5MPK_45min_5X	Analyte	2:A,1		0.90	1285	170150	0.008	0.076	2.39			17072.000	
89	89	112719_R5_Mitra_F_IP5MPK_60min_5X	Analyte	2:A,2		0.90	1409	166253	0.008	0.085	2.66			17994.000	
90	90	112719_Female_MitragynineHCl_PK_LLOQ4	QC	1:B,9	1.000	0.90	623	169177	0.004	0.037	1.25	24.6		7947.000	
91	91	112719_Female_MitragynineHCl_PK_LQC4	QC	1:B,10	3.000	0.91	1866	171555	0.011	0.109	3.36	12.1		3583.188	
92	92	112719_Female_MitragynineHCl_PK_MQC4	QC	1:B,11	90.000	0.90	55960	170052	0.329	3.291	96.98	7.8		734200.000	
93	93	112719_Female_MitragynineHCl_PK_HQC4	QC	1:B,12	180.000	0.90	120233	177786	0.676	6.763	199.13	10.6		1592879.000	
94	94	112719_R5_Mitra_F_IP5MPK_2hr_5X	Analyte	2:A,3		0.90	1350	171510	0.008	0.079	2.48			16890.000	
95	95	112719_R5_Mitra_F_IP5MPK_4hr_5X	Analyte	2:A,4		0.91	1110	174549	0.006	0.064	2.03			1214.277	
96	96	112719_R5_Mitra_F_IP5MPK_12hr	Analyte	2:A,6		0.90	2810	179318	0.016	0.157	4.77			35402.000	
97	97	112719_R5_Mitra_F_IP5MPK_18hr	Analyte	2:A,7		0.90	2003	179139	0.011	0.112	3.45			6059.103	
98	98	112719_R5_Mitra_F_IP5MPK_24hr	Analyte	2:A,8		0.91	1660	178385	0.009	0.093	2.90			21461.000	
99	99	112719_R6_Mitra_F_IP5MPK_PreDose	Analyte	2:A,9		0.93	14	179064	0.000	0.001	0.19			134.000	
100	100	112719_R6_Mitra_F_IP5MPK_5min_10X	Analyte	2:A,10		0.90	232	174654	0.001	0.013	0.55			2650.000	
101	101	112719_R6_Mitra_F_IP5MPK_15min_10X	Analyte	2:A,11		0.91	430	168237	0.003	0.026	0.92			5027.000	
102	102	112719_R6_Mitra_F_IP5MPK_30min_10X	Analyte	2:A,12		0.90	473	168961	0.003	0.028	0.99			6024.000	
103	103	112719_R6_Mitra_F_IP5MPK_45min_5X	Analyte	2:B,1		0.91	759	167035	0.005	0.045	1.50			9483.000	
104	104	112719_R6_Mitra_F_IP5MPK_60min_5X	Analyte	2:B,2		0.91	689	161249	0.004	0.043	1.42			8818.000	
105	105	112719_R6_Mitra_F_IP5MPK_2hr_5X	Analyte	2:B,3		0.91	517	161585	0.003	0.032	1.10			1250.353	
106	106	112719_R6_Mitra_F_IP5MPK_4hr_5X	Analyte	2:B,4		0.92	354	163551	0.002	0.022	0.80			4350.000	
107	107	112719_R6_Mitra_F_IP5MPK_8hr	Analyte	2:B,5		0.91	1073	166262	0.006	0.065	2.06			12515.000	
108	108	112719_R6_Mitra_F_IP5MPK_12hr	Analyte	2:B,6		0.90	699	170834	0.004	0.041	1.37			8819.000	
109	109	112719_R6_Mitra_F_IP5MPK_18hr	Analyte	2:B,7		0.91	505	168750	0.003	0.030	1.04			5926.000	
110	110	112719_R6_Mitra_F_IP5MPK_24hr	Analyte	2:B,8		0.91	298	167051	0.002	0.018	0.69			3430.000	
111	111	112719_R7_Mitra_F_IP5MPK_PreDose	Analyte	2:B,9		0.84	5	163771	0.000	0.000	0.17			67.000	
112	112	112719_R7_Mitra_F_IP5MPK_5min_10X	Analyte	2:B,10		0.90	279	160852	0.002	0.017	0.67			3401.000	
113	113	112719_R7_Mitra_F_IP5MPK_15min_10X	Analyte	2:B,11		0.90	406	162308	0.003	0.025	0.90			4728.000	
114	114	112719_Female_MitragynineHCl_PK_LLOQ5	QC	1:C,1	1.000	0.91	595	179352	0.003	0.033	1.14	13.9		7010.000	
115	115	112719_Female_MitragynineHCl_PK_LQC5	QC	1:C,2	3.000	0.91	1594	172095	0.009	0.093	2.89	-3.8		2225.239	
116	116	112719_Female_MitragynineHCl_PK_MQC5	QC	1:C,3	90.000	0.90	47925	171357	0.280	2.797	82.45	-8.4		607296.000	
