Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
101	101	112719_R6_Mitra_F_IP5MPK_15min_10X	Analyte	2:A,11				168237							
102	102	112719_R6_Mitra_F_IP5MPK_30min_10X	Analyte	2:A,12				168961							
103	103	112719_R6_Mitra_F_IP5MPK_45min_5X	Analyte	2:B,1				167035							
104	104	112719_R6_Mitra_F_IP5MPK_60min_5X	Analyte	2:B,2				161249							
105	105	112719_R6_Mitra_F_IP5MPK_2hr_5X	Analyte	2:B,3				161585							
106	106	112719_R6_Mitra_F_IP5MPK_4hr_5X	Analyte	2:B,4				163551							
107	107	112719_R6_Mitra_F_IP5MPK_8hr	Analyte	2:B,5				166262							
108	108	112719_R6_Mitra_F_IP5MPK_12hr	Analyte	2:B,6				170834							
109	109	112719_R6_Mitra_F_IP5MPK_18hr	Analyte	2:B,7				168750							
110	110	112719_R6_Mitra_F_IP5MPK_24hr	Analyte	2:B,8				167051							
111	111	112719_R7_Mitra_F_IP5MPK_PreDose	Analyte	2:B,9				163771							
112	112	112719_R7_Mitra_F_IP5MPK_5min_10X	Analyte	2:B,10				160852							
113	113	112719_R7_Mitra_F_IP5MPK_15min_10X	Analyte	2:B,11				162308							
114	114	112719_Female_MitragynineHCl_PK_LLOQ5	QC	1:C,1	1.000			179352							
115	115	112719_Female_MitragynineHCl_PK_LQC5	QC	1:C,2	3.000			172095							
116	116	112719_Female_MitragynineHCl_PK_MQC5	QC	1:C,3	90.000			171357							
117	117	112719_Female_MitragynineHCl_PK_HQC5	QC	1:C,4	180.000			171831							
118	118	112719_R7_Mitra_F_IP5MPK_30min_10X	Analyte	2:B,12				166716							
119	119	112719_R7_Mitra_F_IP5MPK_45min_5X	Analyte	2:C,1				173852							
120	120	112719_R7_Mitra_F_IP5MPK_60min_5X	Analyte	2:C,2				161494							
121	121	112719_R7_Mitra_F_IP5MPK_2hr_5X	Analyte	2:C,3				162408							
122	122	112719_R7_Mitra_F_IP5MPK_4hr_5X	Analyte	2:C,4				165159							
123	123	112719_R7_Mitra_F_IP5MPK_8hr	Analyte	2:C,5				163933							
124	124	112719_R7_Mitra_F_IP5MPK_12hr	Analyte	2:C,6				165221							
125	125	112719_R7_Mitra_F_IP5MPK_18hr	Analyte	2:C,7				161169							
126	126	112719_R7_Mitra_F_IP5MPK_24hr	Analyte	2:C,8				161989							
127	127	112719_R8_Mitra_F_IP5MPK_PreDose	Analyte	2:C,9				165379							
128	128	112719_R8_Mitra_F_IP5MPK_5min_10X	Analyte	2:C,10				165827							
129	129	112719_R8_Mitra_F_IP5MPK_15min_10X	Analyte	2:C,11				168279							
130	130	112719_R8_Mitra_F_IP5MPK_30min_10X	Analyte	2:C,12				173290							
131	131	112719_R8_Mitra_F_IP5MPK_45min_5X	Analyte	2:D,1				169087							
132	132	112719_R8_Mitra_F_IP5MPK_60min_5X	Analyte	2:D,2				161047							
133	133	112719_R8_Mitra_F_IP5MPK_2hr_5X	Analyte	2:D,3				163166							
134	134	112719_R8_Mitra_F_IP5MPK_4hr_5X	Analyte	2:D,4				163249							
135	135	112719_R8_Mitra_F_IP5MPK_8hr	Analyte	2:D,5				162884							
136	136	112719_R8_Mitra_F_IP5MPK_12hr	Analyte	2:D,6				162433							
137	137	112719_R8_Mitra_F_IP5MPK_18hr	Analyte	2:D,7				160165							
138	138	112719_R8_Mitra_F_IP5MPK_24hr	Analyte	2:D,8				159644							
139	139	112719_Female_MitragynineHCl_PK_LLOQ6	QC	1:C,5	1.000			166711							
140	140	112719_Female_MitragynineHCl_PK_LQC6	QC	1:C,6	3.000			170941							
141	141	112719_Female_MitragynineHCl_PK_MQC6	QC	1:C,7	90.000			167844							
142	142	112719_Female_MitragynineHCl_PK_HQC6	QC	1:C,8	180.000			169642							

