Quantify Compound Summary Report 

Printed Wed Oct 30 12:27:59 2024

Compound 1:  NEU7032

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
37	37	07182024_NEU_PK_LLOQ_3	QC	20.000	2.42	36837			36837.461	21.4	10654.366	1:F,9	NO	7.0
38	38	07182024_NEU_PK_LQC_3	QC	20.000	2.41	36830			36829.898	21.4	14435.130	1:F,10	NO	7.0
39	39	07182024_NEU_PK_MQC_3	QC	20.000	2.41	36843			36843.090	21.4	8912.036	1:F,11	NO	7.0
40	40	07182024_NEU_PK_HQC_3	QC	20.000	2.42	38450			38449.789	22.3	7227.548	1:F,12	NO	11.7
41	41	07182024_NEU_PK_BLK_PLASM8		20.000	2.42	14			13.576	0.0	2.321	1:E,2	NO	-100.0
42	42	07182024_NEU_7369_IP_5MG_MICE_PK_30MIN		20.000	2.41	30735			30734.816	17.9	5304.099	1:G,10	NO	-10.7
43	43	07182024_NEU_7369_IP_5MG_MICE_PK_1HR		20.000	2.41	32993			32992.852	19.2	8257.716	1:G,11	NO	-4.2
44	44	07182024_NEU_7369_IP_5MG_MICE_PK_2HR		20.000	2.41	38920			38920.211	22.6	6917.671	1:G,12	NO	13.1
45	45	07182024_NEU_PK_BLK_PLASM9		20.000	2.41	9			9.377	0.0	5.520	1:E,2	NO	-100.0
46	46	07182024_NEU_PK_LLOQ_2A	QC	20.000	2.41	40801			40801.148	23.7	11749.207	1:F,9	NO	18.5
47	47	07182024_NEU_PK_LQC_2A	QC	20.000	2.41	40241			40241.004	23.4	11955.570	1:F,10	NO	16.9
48	48	07182024_NEU_PK_MQC_2A	QC	20.000	2.41	39449			39449.016	22.9	7849.854	1:F,11	NO	14.6
49	49	07182024_NEU_PK_HQC_2A	QC	20.000	2.41	41876			41875.988	24.3	7274.434	1:F,12	NO	21.7
50	50	07182024_NEU_PK_BLK_PLASM10		20.000								1:E,2		
51	51	DILUTED SAMPLES		20.000										
52	52	07182024_NEU_BLK_ACN1A		20.000	2.42	17			17.047	0.0	4.549	1:A,1	NO	-100.0
53	53	07182024_NEU_BLK_ACN2A		20.000	2.41	23			22.623	0.0	3.703	1:A,1	NO	-99.9
54	54	07182024_NEU_7032_IP_5MG_MICE_PK_10X_30MIN		20.000	2.41	37148			37148.195	21.6	9776.401	1:H,1	NO	7.9
55	55	07182024_NEU_7032_IP_5MG_MICE_PK_10x_1HR		20.000	2.41	36646			36645.504	21.3	3816.380	1:H,2	NO	6.5
56	56	07182024_NEU_7032_IP_5MG_MICE_PK_10x_2HR		20.000	2.41	36394			36393.715	21.1	8997.606	1:H,3	NO	5.7
57	57	07182024_NEU_PK_BLK_PLASM13		20.000	2.46	23			23.148	0.0	4.696	1:E,2	NO	-99.9
58	58	07182024_NEU_PK_LLOQ_1A	QC	20.000	2.41	42757			42757.313	24.8	7163.739	1:F,1	NO	24.2
59	59	07182024_NEU_PK_LQC_1A	QC	20.000	2.41	41398			41398.309	24.1	4730.146	1:F,2	NO	20.3
60	60	07182024_NEU_PK_MQC_1A	QC	20.000	2.41	39727			39726.891	23.1	9134.013	1:F,3	NO	15.4
61	61	07182024_NEU_PK_HQC_1A	QC	20.000	2.41	42663			42663.016	24.8	8739.059	1:F,4	NO	23.9
62	62	07182024_NEU_PK_BLK_PLASM14		20.000	2.41	18			17.978	0.0	5.889	1:E,2	NO	-99.9
63	63	07182024_NEU_7369_IP_5MG_MICE_PK_10x_30MIN		20.000	2.41	35533			35532.926	20.6	6649.424	1:H,4	NO	3.2
64	64	07182024_NEU_7369_IP_5MG_MICE_PK_10x_1HR		20.000	2.41	35451			35451.168	20.6	13494.726	1:H,5	NO	3.0
65	65	07182024_NEU_7369_IP_5MG_MICE_PK_10x_2HR		20.000	2.41	37071			37071.215	21.5	7260.081	1:H,6	NO	7.7
66	66	07182024_NEU_PK_BLK_PLASM15		20.000	2.41	8			8.000	0.0	1.785	1:E,2	NO	-100.0
67	67	07182024_NEU_PK_LLOQ_2A	QC	20.000	2.41	40801			40801.148	23.7	11749.207	1:F,9	NO	18.5
68	68	07182024_NEU_PK_LQC_2A	QC	20.000	2.41	40241			40241.004	23.4	11955.570	1:F,10	NO	16.9
69	69	07182024_NEU_PK_MQC_2A	QC	20.000	2.41	39449			39449.016	22.9	7849.854	1:F,11	NO	14.6
70	70	07182024_NEU_PK_HQC_2A	QC	20.000	2.41	41876			41875.988	24.3	7274.434	1:F,12	NO	21.7
71	71	07182024_NEU_PK_BLK_PLASM16		20.000	2.42	4			4.427	0.0	1.945	1:E,2	NO	-100.0
72	72	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_1		20.000	2.41	37551			37551.191	21.8	9846.992	1:B,1	NO	9.1
73	73	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_2		20.000	2.41	37363			37362.629	21.7	8708.114	1:B,2	NO	8.5
74	74	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_3		20.000	2.42	36854			36853.965	21.4	9646.671	1:B,3	NO	7.1
75	75	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_1		20.000	2.41	38107			38107.031	22.1	10378.320	1:B,4	NO	10.7
76	76	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_2		20.000	2.41	37370			37370.113	21.7	10665.030	1:B,5	NO	8.6
77	77	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_3		20.000	2.41	38582			38582.129	22.4	9024.375	1:B,6	NO	12.1
78	78	07182024_NEU_BLK_ACN8		20.000	2.41	9			9.394	0.0	6.351	1:A,1	NO	-100.0
79	79	07182024_NEU_BLK_ACN9		20.000	2.41	4			3.963	0.0	2.518	1:A,1	NO	-100.0
80	80	07182024_NEU_BLK_ACN10		20.000	2.42	13			12.517	0.0	3.139	1:A,1	NO	-100.0

