Quantify Compound Summary Report 

Printed Wed Oct 30 12:27:59 2024

Compound 1:  NEU7032

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
5	5	07182024_NEU_SST2A			2.56	499741	34012.875	14.69270	293.854	98.5	27376.520	1:E,4	NO	
6	6	07182024_NEU_SST3A			2.56	487085	33119.914	14.70672	294.134	98.6	23071.556	1:E,4	NO	
7	7	07182024_NEU_SST4A			2.56	485584	33257.398	14.60079	292.016	97.8	25581.526	1:E,4	NO	
8	8	07182024_NEU_SST5A			2.56	484617	33386.211	14.51548	290.310	97.3	27423.772	1:E,4	NO	
9	9	07182024_NEU_BLK_ACN4	Blank		2.56	283	19.236	14.68840	293.768	98.4	40.851	1:A,1	NO	
10	10	07182024_NEU_PK_BLK_PLASMA1			2.56	154	24.528	6.26945	125.389	42.0	31.863	1:E,2	NO	
11	11	07182024_NEU_PK_BLK_PLASMA_WITH_IS			2.56	158	34600.398	0.00455	0.091		22.022	1:E,3	NO	
12	12	07182024_NEU_PK_CS_PLASMA__1NG_1	Standard	1.000	2.56	5361	33587.129	0.15962	3.192	1.0	1344.867	1:E,5	NO	-0.5
13	13	07182024_NEU_PK_CS_PLASMA__2NG_2	Standard	2.000	2.56	10092	33114.176	0.30477	6.095	2.0	870.140	1:E,6	NO	-1.6
14	14	07182024_NEU_PK_CS_PLASMA__5NG_3	Standard	5.000	2.56	25731	33920.789	0.75855	15.171	5.0	2725.127	1:E,7	NO	0.2
15	15	07182024_NEU_PK_CS_PLASMA__10NG_4	Standard	10.000	2.56	57448	34527.488	1.66385	33.277	11.1	10608.408	1:E,8	NO	10.8
16	16	07182024_NEU_PK_CS_PLASMA__20NG_5	Standard	20.000	2.56	108264	35242.773	3.07194	61.439	20.5	15576.648	1:E,9	NO	2.6
17	17	07182024_NEU_PK_CS_PLASMA__50NG_6	Standard	50.000	2.56	265616	34934.207	7.60331	152.066	50.9	13191.092	1:E,10	NO	1.8
18	18	07182024_NEU_PK_CS_PLASMA__100NG_7	Standard	100.000	2.56	519503	35081.051	14.80866	296.173	99.2	15443.282	1:E,11	NO	-0.8
19	19	07182024_NEU_PK_CS_PLASMA__200NG_8	Standard	200.000	2.56	910087	34964.145	26.02916	520.583	174.5	58946.193	1:E,12	NO	-12.8
20	20	07182024_NEU_PK_BLK_PLASMA2			2.56	429	11.505	37.27840	745.568	249.9	64.062	1:E,2	NO	
21	21	07182024_NEU_PK_LLOQ_1	QC	1.000	2.56	5891	34763.664	0.16945	3.389	1.1	727.529	1:F,1	NO	6.1
22	22	07182024_NEU_PK_LQC_1	QC	3.000	2.56	14706	33839.535	0.43459	8.692	2.8	2207.561	1:F,2	NO	-5.4
23	23	07182024_NEU_PK_MQC_1	QC	90.000	2.56	464971	33111.543	14.04256	280.851	94.1	15468.872	1:F,3	NO	4.6
24	24	07182024_NEU_PK_HQC_1	QC	180.000	2.56	1025608	33601.160	30.52301	610.460	204.6	55829.482	1:F,4	NO	13.7
25	25	07182024_NEU_PK_BLK_PLASM3			2.55	218	12.823	17.03057	340.611	114.1	35.009	1:E,2	NO	
26	26	07182024_NEU_PK_BLK_PLASM4			2.55	378	561.219	0.67401	13.480	4.4	71.230	1:E,2	NO	
27	27	07182024_NEU_PK_LLOQ_2	QC	1.000	2.56	5729	39132.496	0.14641	2.928	0.9	1246.501	1:F,5	NO	-9.3
28	28	07182024_NEU_PK_LQC_2	QC	3.000	2.55	15474	38412.965	0.40282	8.056	2.6	1323.014	1:F,6	NO	-12.5
29	29	07182024_NEU_PK_MQC_2	QC	90.000	2.56	514011	36647.250	14.02592	280.518	94.0	32366.664	1:F,7	NO	4.4
30	30	07182024_NEU_PK_HQC_2	QC	180.000	2.56	1032098	36963.813	27.92186	558.437	187.2	28545.796	1:F,8	NO	4.0
31	31	07182024_NEU_PK_BLK_PLASM5			2.56	555	26.109	21.24865	424.973	142.4	68.146	1:E,2	NO	
32	32	07182024_NEU_PK_BLK_PLASM6			2.56	144	10.671	13.50773	270.155	90.5	19.472	1:E,2	NO	
33	33	07182024_NEU_7032_IP_5MG_MICE_PK_30MIN			2.56	7078	29712.648	0.23822	4.764	1.5	756.359	1:G,7	NO	
34	34	07182024_NEU_7032_IP_5MG_MICE_PK_1HR			2.55	86	31120.193	0.00275	0.055		19.284	1:G,8	NO	
35	35	07182024_NEU_7032_IP_5MG_MICE_PK_2HR			2.56	1718	30215.918	0.05687	1.137	0.3	407.813	1:G,9	NO	
36	36	07182024_NEU_PK_BLK_PLASM7			2.54	56	8.758	6.42121	128.424	43.0	6.333	1:E,2	NO	
37	37	07182024_NEU_PK_LLOQ_3	QC	1.000	2.56	5270	36837.461	0.14305	2.861	0.9	921.413	1:F,9	NO	-11.6
38	38	07182024_NEU_PK_LQC_3	QC	3.000	2.55	16293	36829.898	0.44238	8.848	2.9	1280.300	1:F,10	NO	-3.6
39	39	07182024_NEU_PK_MQC_3	QC	90.000	2.55	493461	36843.090	13.39360	267.872	89.7	21246.724	1:F,11	NO	-0.3
40	40	07182024_NEU_PK_HQC_3	QC	180.000	2.56	1095289	38449.789	28.48621	569.724	191.0	41751.911	1:F,12	NO	6.1
